
Sl.No.,Date Of Outage,Circle,Division,Sub Division,Section,Voltage,Name of Town,Name Of Sub-Station,Name of Feeder,Area Affected,From (HH:MM),To (HH:MM),Maintenance Type
1,26/JAN/2024,CYBERCITY,IBRAHIMBAGH,IBRAHIMBAGH,NARSINGI,11,-,33/11KV PACIFICA SS,11KV MY SCAPE FEEDER,,13:00:00,15:00:00,MAINTENANCE WORK
2,26/JAN/2024,CYBERCITY,IBRAHIMBAGH,IBRAHIMBAGH,NARSINGI,11,-,33/11KV PACIFICA SS,11KV COURT YARD FEEDER,,13:00:00,15:00:00,MAINTENANCE WORK
3,26/JAN/2024,CYBERCITY,IBRAHIMBAGH,IBRAHIMBAGH,NARSINGI,11,-,33/11 KV VATTINAGULAPALLY SS,11 KV APARNA(VATTINAGULAPALLY) FEEDER,,15:00:00,17:00:00,MAINTENANCE WORK
4,26/JAN/2024,CYBERCITY,IBRAHIMBAGH,IBRAHIMBAGH,NARSINGI,11,-,33/11 KV VATTINAGULAPALLY SS,11 KV SRIDEVI FEEDER,,15:00:00,17:00:00,MAINTENANCE WORK
5,26/JAN/2024,CYBERCITY,IBRAHIMBAGH,IBRAHIMBAGH,NARSINGI,11,-,33/11 KV VATTINAGULAPALLY SS,11 KV O.R.R FEEDER,,13:00:00,15:00:00,MAINTENANCE WORK
6,26/JAN/2024,CYBERCITY,IBRAHIMBAGH,IBRAHIMBAGH,NARSINGI,11,-,33/11 KV VATTINAGULAPALLY SS,11 KV VATTINAGULAPALLY FEEDER,,13:00:00,15:00:00,MAINTENANCE WORK
7,26/JAN/2024,CYBERCITY,IBRAHIMBAGH,IBRAHIMBAGH,NARSINGI,11,-,33/11 KV NARSINGI MARKET YARD SS,11 KV JAI BHAVANI FEEDER,,15:00:00,16:00:00,MAINTENANCE WORK
8,26/JAN/2024,HYDERABAD SOUTH,CITY 9 BEGUMBAZAR,BEGUMBAZAR,BEGUM BAZAR,11,-,33/11 KV Gosha Mahal SS,11 KV M.J.MARKET FEEDER,,14:30:00,17:30:00,MAINTENANCE WORK
9,26/JAN/2024,CYBERCITY,IBRAHIMBAGH,IBRAHIMBAGH,NARSINGI,11,-,33/11KV PACIFICA SS,11KV KRINSS VILLAS FEEDER,,15:00:00,16:00:00,MAINTENANCE WORK
10,27/JAN/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV ESCI SS,11KV DSR,"DSR, Rodamistry College",12:00:00,14:00:00,Tree cutting
